Country,Year,Peril Type,Total Damage
Mozambique,2002,Drought,0
Mozambique,2002,Flood,0
Mozambique,2002,Storm,0
Mozambique,2003,Drought,0
Mozambique,2003,Flood,0
Mozambique,2003,Storm,0
Mozambique,2005,Drought,0
Mozambique,2005,Flood,0
Mozambique,2006,Earthquake,0
Mozambique,2007,Drought,0
Mozambique,2007,Flood,171000000
Mozambique,2007,Storm,0
Mozambique,2008,Drought,0
Mozambique,2008,Flood,0
Mozambique,2008,Storm,20000000
Mozambique,2009,Flood,0
Mozambique,2009,Storm,3000000
Mozambique,2010,Drought,0
Mozambique,2010,Flood,0
Mozambique,2011,Flood,0
Mozambique,2011,Storm,0
Mozambique,2012,Storm,0
Mozambique,2013,Flood,30000000
Mozambique,2014,Flood,0
Mozambique,2015,Flood,0
Mozambique,2016,Drought,0
Mozambique,2016,Flood,0
Mozambique,2016,Storm,1644000
Mozambique,2017,Storm,17000000
