,Annual Average,1 in 5 Year,1 in 10 Year,1 in 25 Year,1 in 50 Year,1 in 100 Year,Highest Historical Annual Loss (1992),Most Recent Annual Loss (2018)
drought,536664.675152648,855138.202079787,1177093.17885029,1573767.37644612,1862992.99066156,2152723.70449895,1747426.06414807,540626.385395538
,,,,,,,,
,,,,,,,,
,,,,,,,,
Overall,536664.675152648,855138.202079787,1177093.17885029,1573767.37644612,1862992.99066156,2152723.70449895,1747426.06414807,540626.385395538
Graph,536664.675152648,855138.202079787,1177093.17885029,1573767.37644612,1862992.99066156,2152723.70449895,1747426.06414807,540626.385395538
Funding Gap,-536664.675152648,-855138.202079787,-1177093.17885029,-1573767.37644612,-1862992.99066156,-2152723.70449895,-1747426.06414807,-540626.385395538
Error Bars (L),0,0,0,0,0,0,,
Error Bars (U),0,0,0,0,0,0,,
ErroBarX,0.0625,0.1875,0.3125,0.4375,0.5625,0.6875,,
,0.0625,0.1875,0.3125,0.4375,0.5625,0.6875,,
